food,observed_effect,candidate_adulterant,articles_with_food_effect_context,articles_also_naming_candidate,observed_article_share_pct,laplace_smoothed_presence_pct,mean_candidate_confidence,interpretation
turmeric,enlargement of the spleen,auramine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
turmeric,genetic damage,metanil yellow,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
turmeric,genetic damage,auramine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
turmeric,mutagenic effects,metanil yellow,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
turmeric,mutagenic effects,auramine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
turmeric,long term harm,metanil yellow,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
turmeric,long term harm,auramine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,organ pathology,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,kidney damage,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,cancer/carcinogenicity,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,physiological degeneration,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,enlargement of the spleen,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,genetic damage,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,liver damage,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,mutagenic effects,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cotton candy,long term harm,rhodamine B,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,organ pathology,sudan dyes,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,kidney damage,sudan dyes,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,physiological degeneration,sudan dyes,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,enlargement of the spleen,sudan dyes,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,genetic damage,sudan dyes,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,mutagenic effects,sudan dyes,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spices,long term harm,sudan dyes,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,organ pathology,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,kidney damage,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,physiological degeneration,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,enlargement of the spleen,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,genetic damage,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,liver damage,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,mutagenic effects,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Mustard oil,long term harm,argemone oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,organ pathology,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,physiological degeneration,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,enlargement of the spleen,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,genetic damage,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,mutagenic effects,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,long term harm,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
saffron,organ pathology,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,kidney damage,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,cancer/carcinogenicity,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,physiological degeneration,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,enlargement of the spleen,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,genetic damage,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,liver damage,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,mutagenic effects,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
saffron,long term harm,auramine,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,organ pathology,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,kidney damage,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,cancer/carcinogenicity,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,physiological degeneration,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,enlargement of the spleen,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,genetic damage,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,liver damage,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,mutagenic effects,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
locally prepared snacks,long term harm,auramine,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
food,inflammation,microplastics,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
food,respiratory dysfunction,microplastics,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney problems,sodium hydrogen carbonate,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney problems,soap,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney problems,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney problems,hydrogen peroxide,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney problems,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney problems,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal complications,sodium hydrogen carbonate,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal complications,soap,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal complications,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal complications,hydrogen peroxide,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal complications,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal complications,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,milk sickness,tremetol,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
chilli powder,risk to health,harmful colouring agents,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,risk to health,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fermented foods,paralysis,toxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
fermented foods,nausea,toxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
fermented foods,severe dehydration,toxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
fermented foods,acuteeffect,toxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
fermented foods,food poisoning,toxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
fermented foods,diarrhoea,toxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,listeriosis,campylobacter,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,listeriosis,listeria,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,muscle paralysis,campylobacter,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,muscle paralysis,listeria,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,guillain barré syndrome,campylobacter,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,guillain barré syndrome,listeria,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
undercooked beef,listeriosis,e coli,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
undercooked beef,fflo acuteeffect,e coli,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
undercooked beef,muscle paralysis,e coli,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
undercooked beef,guillain barré syndrome,e coli,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
municipal water supply,death,sewage,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
municipal water supply,gastrointestinal illness,sewage,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
drinking water,death,raw sewage,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
drinking water,gastrointestinal illness,raw sewage,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,palm oil family,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,maltodextrin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,neutralisers,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,expired milk powder,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,digestive complications,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired learning,pesticide residue,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired learning,bisphenol a,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired learning,mercury,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired learning,arsenic,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired learning,cadmium,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired learning,lead,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired brain development,pesticide residue,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired brain development,bisphenol a,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired brain development,mercury,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired brain development,arsenic,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired brain development,cadmium,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,impaired brain development,lead,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,kidney damage,pesticide residue,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,kidney damage,bisphenol a,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,kidney damage,mercury,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,kidney damage,arsenic,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,kidney damage,cadmium,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,kidney damage,lead,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,cancer/carcinogenicity,pesticide residue,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,cancer/carcinogenicity,bisphenol a,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,cancer/carcinogenicity,mercury,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,cancer/carcinogenicity,arsenic,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,cancer/carcinogenicity,cadmium,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
protein powder,cancer/carcinogenicity,lead,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,immune suppression,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,immune suppression,aflatoxins,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,growth impairment,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,growth impairment,aflatoxins,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
maize,immune suppression,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
maize,growth impairment,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
maize,cancer/carcinogenicity,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
wheat,immune suppression,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
wheat,growth impairment,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
wheat,cancer/carcinogenicity,aflatoxin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
adulterated chilli powder,lifestyle and unexplained illnesses,artificial colours,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
adulterated turmeric,lifestyle and unexplained illnesses,starch,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
turmeric,lifestyle and unexplained illnesses,chemicals,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
edible oils,lifestyle and unexplained illnesses,cheaper industrial substitutes,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
mithai,hyperactivity,metallic powders,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,hyperactivity,starch,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,hyperactivity,industrial dyes,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,hyperactivity,artificial dyes,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,long term health risks,metallic powders,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,long term health risks,starch,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,long term health risks,industrial dyes,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithai,long term health risks,artificial dyes,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,hyperactivity,vanaspati,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,hyperactivity,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,hyperactivity,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,long term health risks,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,long term health risks,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,hyperactivity,aluminium foil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
silver vark,long term health risks,aluminium foil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,hyperactivity,urea,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,hyperactivity,water,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,hyperactivity,detergent,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,hyperactivity,mineral oil,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,hyperactivity,artificial colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,long term health risks,mineral oil,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
dry fruits,long term health risks,artificial colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
protein powders,fflo chroniceffect,heavy metals,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
protein powders,acne,heavy metals,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
protein powders,hair loss,heavy metals,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
whey protein,fflo chroniceffect,steroids,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
whey protein,acne,steroids,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
whey protein,hair loss,steroids,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,death,poison,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
tea,health issues,pesticide residue,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
fruits,health issues,pesticide residue,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
vegetables,health issues,pesticide residue,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
fish,bioaccumulation in fat,tcdd,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
fish,bioaccumulation,tcdd,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
fish,deadly health effects,tcdd,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
fish,chronic inflammation,tcdd,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
fish,chronic inflammatory markers,tcdd,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
Milk,bioaccumulation in fat,dioxin,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,bioaccumulation,dioxin,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,deadly health effects,dioxin,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,chronic inflammation,dioxin,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,chronic inflammatory markers,dioxin,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,health of the people,refined oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,health of the people,urea,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,health of the people,caustic soda,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,health of the people,starch,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,health of the people,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
feed,impacts on animal health,toxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,toxicity to humans if ingested,ethylene glycol,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,inability to urinate,ethylene glycol,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,metabolic acidosis,ethylene glycol,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
glycol,acuteeffect,milk,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,urination problems,unknown adulterant,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,spike in blood sugar,maltodextrin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,spike in blood sugar,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,spike in blood sugar,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,damage to the digestive system,maltodextrin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,damage to the digestive system,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,damage to the digestive system,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,affecting gut health,maltodextrin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,affecting gut health,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,affecting gut health,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,flour based substances,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,preservatives,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,gruel,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,neutralisers,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,maltodextrin,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,serious harm to consumers,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,death,diethylene glycol,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,death,ethylene glycol,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,death,toxic industrial solvents,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,toxicity,diethylene glycol,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,toxicity,ethylene glycol,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,toxicity,toxic industrial solvents,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,ravaging internal organs,diethylene glycol,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,ravaging internal organs,ethylene glycol,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
cough syrup,ravaging internal organs,toxic industrial solvents,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,abdominal cramps,e coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,abdominal cramps,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,guillain barre syndrome,e coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,guillain barre syndrome,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,fever,e coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,fever,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,weakness,e coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,weakness,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,paralysis,e coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,paralysis,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,nausea,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,abdominal cramps,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,guillain barre syndrome,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,fever,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,food poisoning,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,weakness,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,acuteeffect,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,paralysis,listeria,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
rice,abdominal cramps,bacillus cereus,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
rice,guillain barre syndrome,bacillus cereus,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
rice,gastrointestinal illness,bacillus cereus,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
rice,fever,bacillus cereus,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
